method,setting,dataset,category,metric,score
grad,ascent,retain,entity,MU-R,0.46977861067756366
grad,ascent,retain,general,MU-R,0.7145922787468814
gd,entity,forget,overall,FE,0.8951209246871524
simnpo,(none),forget,overall,FE,0.6814621973564778
dpo,direct,retain,entity,MU-R,0.6193239230273578
dpo,direct,retain,general,MU-R,0.9508900068167225
gd,balanced,forget,overall,FE,0.9757488478659365
dpo,cyclic,forget,overall,FE,0.7075160941067352
dpo,wretain,retain,domain,MU-R,0.631597207744424
dpo,wretain,retain,entity,MU-R,0.5514405994539201
dpo,wretain,retain,general,MU-R,0.8897286153280335
npo,entity,retain,domain,MU-R,0.7527263507115529
npo,entity,retain,entity,MU-R,0.6709561051897275
npo,entity,retain,general,MU-R,0.9559164653209146
npo,indirect,retain,domain,MU-R,0.7313780823045396
npo,indirect,retain,general,MU-R,0.94253608482845
npo,wretain,test,domain,MU-T,0.5571670121819124
npo,wretain,test,entity,MU-T,0.741004108914456
npo,wretain,test,general,MU-T,0.829765015773239
npo,tofu,test,domain,MU-T,0.5488747095515648
npo,tofu,test,entity,MU-T,0.7512640316133847
npo,tofu,test,general,MU-T,0.8428277340913817
dpo,indirect,retain,domain,MU-R,0.7650102335533174
dpo,indirect,retain,general,MU-R,0.9478992761285702
simnpo,melu,test,domain,MU-T,0.6332002620350883
simnpo,melu,test,entity,MU-T,0.8237817302698407
simnpo,melu,test,general,MU-T,0.9029464331978175
npo,balanced,test,domain,MU-T,0.5897277591965079
npo,balanced,test,entity,MU-T,0.7721689263762215
npo,balanced,test,general,MU-T,0.8865638949751212
gd,(none),test,domain,MU-T,0.5848959895156957
gd,(none),test,entity,MU-T,0.769761022502936
gd,(none),test,general,MU-T,0.8446702278469513
